no,text
278,"['pantene', 'NN'], ['dry', 'JJ'], ['defy', 'NN'], ['conditioner', 'NN'], ['absolutely', 'RB'], ['made', 'VBD'], ['love', 'JJ'], ['look', 'NN'], ['feel', 'VB'], ['hair', 'NN'], ['someone', 'NN'], ['struggle', 'NN'], ['dry', 'JJ'], ['hair', 'NN'], ['couldnt', 'NNS'], ['happier', 'RBR'], ['able', 'JJ'], ['try', 'NN'], ['product', 'NN'], ['pricing', 'NN'], ['reasonavle', 'JJ'], ['product', 'NN'], ['wow', 'NN'], ['factor', 'NN'], ['would', 'MD'], ['recommend', 'VB'], ['product', 'NN'], ['anyone', 'NN'], ['issue', 'NN'], ['dry', 'JJ'], ['hair', 'NN'], ['work', 'NN'], ['wonder', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
279,"['received', 'VBN'], ['product', 'NN'], ['wait', 'NN'], ['try', 'NN'], ['item', 'NN'], ['well', 'RB'], ['glad', 'RB'], ['did', 'VBD'], ['awesome', 'JJ'], ['experience', 'NN'], ['using', 'VBG'], ['hair', 'NN'], ['smelt', 'VBD'], ['nice', 'JJ'], ['felt', 'VBD'], ['nice', 'JJ'], ['hair', 'NN'], ['looked', 'VBD'], ['felt', 'VBD'], ['awesome', 'JJ'], ['after', 'IN'], ['wait', 'NN'], ['long', 'RB'], ['conditioner', 'JJ'], ['job', 'NN'], ['rinsing', 'VBG'], ['out', 'RP'], ['dry', 'JJ'], ['styled', 'VBN'], ['felt', 'VBD'], ['even', 'RB'], ['smoother', 'JJR'], ['usual', 'JJ'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
280,"['great', 'JJ'], ['hair', 'NN'], ['hair', 'NN'], ['lost', 'VBD'], ['luster', 'JJR'], ['body', 'NN'], ['aged', 'VBD'], ['friend', 'NN'], ['recommended', 'VBD'], ['amazed', 'VBN'], ['first', 'RB'], ['use', 'NN'], ['used', 'VBN'], ['regular', 'JJ'], ['product', 'NN'], ['keep', 'VB'], ['hair', 'NN'], ['looking', 'VBG'], ['healthy', 'JJ'], ['beautiful', 'NN']"
281,"['cant', 'JJ'], ['say', 'VBP'], ['enough', 'JJ'], ['product', 'NN'], ['absolutely', 'RB'], ['love', 'VB'], ['it', 'PRP'], ['hair', 'PRP'], ['smooth', 'JJ'], ['silky', 'JJ'], ['using', 'VBG'], ['product', 'NN'], ['went', 'VBD'], ['smooth', 'NNS'], ['rinsed', 'VBN'], ['well', 'RB'], ['brush', 'RB'], ['glided', 'VBN'], ['hair', 'NN'], ['hair', 'NN'], ['manageable', 'JJ'], ['soft', 'JJ'], ['smooth', 'NNS'], ['would', 'MD'], ['highly', 'RB'], ['recommend', 'VB'], ['product', 'NN'], ['anyone', 'NN'], ['definitely', 'RB'], ['buying', 'VBG'], ['run', 'VBN'], ['out', 'RP'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
282,"['long', 'RB'], ['frissy', 'JJ'], ['hair', 'NN'], ['always', 'RB'], ['hard', 'JJ'], ['time', 'NN'], ['fix', 'VB'], ['it', 'PRP'], ['product', 'NN'], ['worked', 'VBD'], ['first', 'JJ'], ['time', 'NN'], ['try', 'VB'], ['it', 'PRP'], ['leave', 'VB'], ['hair', 'NN'], ['silk', 'NN'], ['smooth', 'JJ'], ['easy', 'JJ'], ['fix', 'NN'], ['conditioner', 'NN'], ['must', 'MD'], ['feel', 'VB'], ['work', 'NN'], ['shower', 'NN'], ['dying', 'VBG'], ['hair', 'NN'], ['several', 'JJ'], ['year', 'NN'], ['leaving', 'VBG'], ['damage', 'NN'], ['dry', 'JJ'], ['conditioner', 'NN'], ['make', 'VBP'], ['glow', 'NN'], ['again', 'RB'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
283,"['thick', 'JJ'], ['stuff', 'NN'], ['surprised', 'VBD'], ['consistency', 'NN'], ['conditioner', 'NN'], ['lot', 'NN'], ['thicker', 'NN'], ['usual', 'JJ'], ['product', 'NN'], ['work', 'NN'], ['relatively', 'RB'], ['dry', 'JJ'], ['hair', 'NN'], ['often', 'RB'], ['requires', 'VBZ'], ['heat', 'JJ'], ['styling', 'VBG'], ['appear', 'JJ'], ['shiny', 'JJ'], ['product', 'NN'], ['air', 'NN'], ['dried', 'VBD'], ['hair', 'NN'], ['ready', 'JJ'], ['go', 'VBP'], ['impressive', 'JJ'], ['continue', 'NN'], ['use', 'NN'], ['sure', 'JJ'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
284,"['really', 'RB'], ['wanted', 'VBN'], ['know', 'NN'], ['would', 'MD'], ['add', 'VB'], ['volume', 'NN'], ['ageing', 'VBG'], ['hair', 'NN'], ['loved', 'VBD'], ['nice', 'JJ'], ['thick', 'NN'], ['conditioner', 'NN'], ['wa', 'IN'], ['using', 'VBG'], ['hair', 'NN'], ['felt', 'VBD'], ['nice', 'JJ'], ['soft', 'JJ'], ['smooth', 'NNS'], ['smelled', 'VBD'], ['great', 'JJ'], ['received', 'VBN'], ['full', 'JJ'], ['size', 'NN'], ['product', 'NN'], ['free', 'JJ'], ['bzzagent', 'NN'], ['honest', 'JJS'], ['review', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
285,"['used', 'VBN'], ['conditioner', 'NN'], ['before', 'IN'], ['like', 'IN'], ['fragrance', 'NN'], ['feel', 'NN'], ['hair', 'NN'], ['using', 'VBG'], ['it', 'PRP'], ['fragrance', 'JJ'], ['light', 'JJ'], ['rinse', 'NN'], ['without', 'IN'], ['leaving', 'VBG'], ['heaviness', 'NN'], ['greasy', 'JJ'], ['feeling', 'NN'], ['hair', 'NN'], ['used', 'VBN'], ['shampoo', 'RB'], ['together', 'RB'], ['like', 'IN'], ['magic', 'JJ'], ['hair', 'NN'], ['much', 'RB'], ['better', 'RBR'], ['texture', 'NN'], ['silky', 'JJ'], ['smooth', 'JJ'], ['shiny', 'JJ'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
286,"['pantene', 'NN'], ['expert', 'NN'], ['prov', 'NN'], ['agedefy', 'NN'], ['conditioner', 'NN'], ['really', 'RB'], ['softened', 'VBD'], ['grey', 'NNS'], ['made', 'VBN'], ['curl', 'NNS'], ['easier', 'RBR'], ['manage', 'NN'], ['brilliant', 'JJ'], ['marriage', 'NN'], ['pantene', 'NN'], ['olay', 'NN'], ['created', 'VBD'], ['conditioner', 'NN'], ['may', 'MD'], ['appear', 'VB'], ['special', 'JJ'], ['one', 'CD'], ['use', 'NN'], ['impressed', 'JJ'], ['mature', 'NN'], ['hair', 'NN'], ['felt', 'VBD'], ['soft', 'JJ'], ['healthy', 'JJ'], ['let', 'NN'], ['dreary', 'JJ'], ['packaging', 'NN'], ['blah', 'NN'], ['colour', 'NN'], ['conditioner', 'NN'], ['fool', 'NN'], ['you', 'PRP'], ['good', 'JJ'], ['stuff', 'NN'], ['always', 'RB'], ['trusted', 'VBD'], ['pantene', 'JJ'], ['new', 'JJ'], ['conditioner', 'NN'], ['created', 'VBD'], ['specifically', 'RB'], ['hair', 'JJ'], ['type', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
287,"['so', 'RB'], ['im', 'JJ'], ['little', 'JJ'], ['obsessed', 'JJ'], ['conditioner', 'NN'], ['pretty', 'RB'], ['much', 'RB'], ['need', 'VB'], ['use', 'NN'], ['every', 'DT'], ['shower', 'NN'], ['bath', 'NN'], ['conditioner', 'NN'], ['decent', 'JJ'], ['job', 'NN'], ['get', 'VB'], ['hair', 'NN'], ['untangled', 'JJ'], ['pretty', 'RB'], ['well', 'RB'], ['typically', 'RB'], ['want', 'VBP'], ['conditioner', 'NN'], ['though', 'IN'], ['go', 'JJ'], ['beyond', 'IN'], ['that', 'DT'], ['use', 'VBP'], ['get', 'VB'], ['shower', 'JJR'], ['hair', 'NN'], ['surprisingly', 'RB'], ['smoother', 'RB'], ['usual', 'JJ'], ['look', 'NN'], ['super', 'JJ'], ['shiny', 'NN'], ['love', 'VB'], ['it', 'PRP'], ['natural', 'JJ'], ['wave', 'VBP'], ['totally', 'RB'], ['brings', 'VBZ'], ['out', 'RP'], ['smell', 'RB'], ['amazing', 'VBG'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
288,"['ive', 'JJ'], ['using', 'VBG'], ['age', 'NN'], ['defy', 'NN'], ['pantene', 'NN'], ['expert', 'JJ'], ['collection', 'NN'], ['conditioner', 'NN'], ['week', 'NN'], ['hair', 'NN'], ['literally', 'RB'], ['coming', 'VBG'], ['back', 'RB'], ['life', 'NN'], ['feel', 'NN'], ['soft', 'JJ'], ['shining', 'NN'], ['also', 'RB'], ['feel', 'VBP'], ['stronger', 'JJR'], ['conditioner', 'NN'], ['super', 'IN'], ['tick', 'NN'], ['creamy', 'NN'], ['use', 'NN'], ['lot', 'NN'], ['le', 'NN'], ['amount', 'NN'], ['used', 'VBN'], ['another', 'DT'], ['competitive', 'JJ'], ['brand', 'NN'], ['instantly', 'RB'], ['since', 'IN'], ['first', 'JJ'], ['wash', 'NN'], ['able', 'JJ'], ['see', 'NN'], ['difference', 'NN'], ['hair', 'NN'], ['im', 'JJ'], ['loving', 'NN'], ['salon', 'NN'], ['quality', 'NN'], ['shampoo', 'VBP'], ['affordable', 'JJ'], ['price', 'NN'], ['actually', 'RB'], ['work', 'VB'], ['review', 'NN'], ['collected', 'VBN'], ['part', 'NN'], ['promotion', 'NN']"
289,"['really', 'RB'], ['enjoy', 'VB'], ['conditioner', 'JJR'], ['one', 'CD'], ['tried', 'VBD'], ['past', 'NN'], ['left', 'VBD'], ['hair', 'NN'], ['smelling', 'VBG'], ['great', 'JJ'], ['also', 'RB'], ['left', 'VBD'], ['feeling', 'VBG'], ['soft', 'JJ'], ['silky', 'NNS'], ['received', 'VBD'], ['product', 'NN'], ['struggled', 'VBN'], ['dry', 'JJ'], ['lifeless', 'NN'], ['hair', 'NN'], ['hair', 'NN'], ['always', 'RB'], ['looking', 'VBG'], ['soft', 'JJ'], ['full', 'JJ'], ['life', 'NN'], ['past', 'IN'], ['month', 'NN'], ['used', 'VBD'], ['conditioner', 'JJR'], ['combination', 'NN'], ['shampoo', 'NN'], ['every', 'DT'], ['single', 'JJ'], ['day', 'NN'], ['disappointed', 'VBD'], ['anyway', 'RB'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
290,"['loving', 'VBG'], ['age', 'NN'], ['defy', 'NN'], ['conditioner', 'NN'], ['using', 'VBG'], ['regularly', 'RB'], ['along', 'RB'], ['age', 'NN'], ['defy', 'NN'], ['shampoo', 'NN'], ['past', 'IN'], ['three', 'CD'], ['week', 'NN'], ['hair', 'NN'], ['dry', 'JJ'], ['damaged', 'VBN'], ['before', 'IN'], ['full', 'JJ'], ['either', 'CC'], ['since', 'IN'], ['using', 'VBG'], ['shampoo', 'JJ'], ['hair', 'NN'], ['looking', 'VBG'], ['great', 'JJ'], ['much', 'JJ'], ['healthier', 'JJR'], ['before', 'IN'], ['notice', 'JJ'], ['difference', 'NN'], ['touch', 'JJ'], ['look', 'NN'], ['also', 'RB'], ['fuller', 'RB'], ['now', 'RB'], ['limp', 'VBZ'], ['dull', 'NNS'], ['like', 'IN'], ['before', 'IN'], ['silky', 'JJ'], ['smooth', 'JJ'], ['hair', 'NN'], ['smell', 'VBP'], ['great', 'JJ'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
291,"['thick', 'JJ'], ['dry', 'JJ'], ['curly', 'RB'], ['hair', 'NN'], ['thats', 'NNS'], ['prone', 'VBP'], ['dryness', 'NN'], ['split', 'NN'], ['end', 'NN'], ['breakage', 'NN'], ['shedding', 'VBG'], ['shampoo', 'JJ'], ['conditioner', 'NN'], ['leaf', 'JJ'], ['hair', 'NN'], ['soft', 'JJ'], ['shiny', 'NN'], ['conditioned', 'VBN'], ['but', 'CC'], ['without', 'IN'], ['heavy', 'JJ'], ['waxy', 'NN'], ['buildup', 'NN'], ['like', 'IN'], ['hair', 'NN'], ['product', 'NN'], ['also', 'RB'], ['love', 'VBP'], ['soft', 'JJ'], ['grownup', 'NN'], ['scent', 'NN'], ['leaf', 'NN'], ['hairim', 'JJ'], ['fan', 'NN'], ['powerful', 'JJ'], ['fruity', 'NN'], ['scent', 'NN'], ['popular', 'JJ'], ['today', 'NN']"
292,"['yayhoo', 'NN'], ['finally', 'RB'], ['got', 'VBD'], ['pantene', 'JJ'], ['prov', 'NN'], ['agedefy', 'NN'], ['shampooconditioner', 'NN'], ['wow', 'IN'], ['aaammmaaazing', 'VBG'], ['immediately', 'RB'], ['open', 'JJ'], ['get', 'VB'], ['good', 'JJ'], ['wiff', 'NN'], ['get', 'VB'], ['idea', 'NN'], ['hair', 'NN'], ['smell', 'VBP'], ['like', 'IN'], ['know', 'VBP'], ['im', 'JJ'], ['talking', 'VBG'], ['about', 'IN'], ['smell', 'NN'], ['conditioner', 'NN'], ['too', 'RB'], ['mmm', 'JJ'], ['smell', 'NN'], ['soo', 'NN'], ['yummy', 'NN'], ['smell', 'VBP'], ['coconutty', 'NNS'], ['like', 'IN'], ['suntan', 'JJ'], ['lotion', 'NN'], ['following', 'VBG'], ['day', 'NN'], ['plan', 'NN'], ['meet', 'VB'], ['mom', 'JJ'], ['lunch', 'NN'], ['day', 'NN'], ['lunch', 'NN'], ['plan', 'NN'], ['morning', 'NN'], ['grabbed', 'VBD'], ['towel', 'JJ'], ['pantene', 'NN'], ['prov', 'NN'], ['agedefy', 'NN'], ['shampooconditioner', 'NN'], ['got', 'VBD'], ['water', 'NN'], ['temp', 'NN'], ['wet', 'VBP'], ['hair', 'NN'], ['squeezed', 'VBN'], ['nickel', 'RB'], ['size', 'NN'], ['amount', 'NN'], ['shampoo', 'NN'], ['long', 'RB'], ['hair', 'NN'], ['lathered', 'VBD'], ['shampoo', 'RB'], ['hair', 'JJ'], ['amount', 'NN'], ['plenty', 'RB'], ['enough', 'RB'], ['head', 'NN'], ['rinsed', 'VBD'], ['clean', 'JJ'], ['actually', 'RB'], ['squeaked', 'VBD'], ['next', 'JJ'], ['used', 'JJ'], ['conditioner', 'NN'], ['amount', 'NN'], ['used', 'VBN'], ['shampoo', 'JJ'], ['plenty', 'JJ'], ['enough', 'RB'], ['saturate', 'JJ'], ['hair', 'NN'], ['scalp', 'VBD'], ['rinsing', 'VBG'], ['conditioner', 'NN'], ['out', 'IN'], ['wrapped', 'JJ'], ['hair', 'NN'], ['towel', 'NN'], ['soak', 'NN'], ['excess', 'JJ'], ['water', 'NN'], ['removing', 'VBG'], ['towel', 'NN'], ['towel', 'NN'], ['dried', 'VBD'], ['hair', 'NN'], ['looked', 'VBD'], ['hair', 'NN'], ['looked', 'VBD'], ['shiny', 'JJ'], ['felt', 'JJ'], ['clean', 'JJ'], ['light', 'NN'], ['conditioner', 'NN'], ['rinse', 'JJ'], ['clean', 'JJ'], ['hair', 'NN'], ['feel', 'VB'], ['heavy', 'JJ'], ['afterwards', 'NNS'], ['hair', 'JJ'], ['look', 'VBP'], ['greasy', 'JJ'], ['brushing', 'NN'], ['easy', 'JJ'], ['smooth', 'JJ'], ['silky', 'JJ'], ['knot', 'NN'], ['fight', 'NN'], ['loosing', 'VBG'], ['handful', 'JJ'], ['hair', 'NN'], ['blow', 'NN'], ['dried', 'VBD'], ['hair', 'NN'], ['omg', 'NN'], ['felt', 'VBD'], ['even', 'RB'], ['lighter', 'JJR'], ['sure', 'JJ'], ['hair', 'NN'], ['head', 'NN'], ['lol', 'NN'], ['light', 'JJ'], ['fluffy', 'RB'], ['felt', 'VBD'], ['like', 'IN'], ['got', 'NNS'], ['hairstylist', 'VBP'], ['chair', 'JJ'], ['hair', 'NN'], ['flowed', 'VBD'], ['wind', 'IN'], ['felt', 'JJ'], ['good', 'JJ'], ['must', 'MD'], ['say', 'VB'], ['extremely', 'RB'], ['happy', 'JJ'], ['pantene', 'NN'], ['prov', 'NN'], ['agedefy', 'NN'], ['shampooconditioner', 'NN'], ['buying', 'VBG'], ['new', 'JJ'], ['hair', 'NN'], ['care', 'NN'], ['product', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
293,"['received', 'VBN'], ['pantene', 'NN'], ['expert', 'NN'], ['prov', 'JJ'], ['age', 'NN'], ['defy', 'NN'], ['conditioner', 'NN'], ['bzzagent', 'NN'], ['love', 'IN'], ['it', 'PRP'], ['nice', 'JJ'], ['light', 'JJ'], ['scent', 'NN'], ['long', 'RB'], ['hair', 'NN'], ['use', 'NN'], ['size', 'NN'], ['loony', 'NN'], ['hand', 'NN'], ['work', 'NN'], ['hair', 'NN'], ['washed', 'VBD'], ['pantene', 'NN'], ['prov', 'NN'], ['age', 'NN'], ['defy', 'NN'], ['shampoo', 'NNS'], ['leave', 'VBP'], ['minute', 'VBN'], ['rinse', 'NN'], ['off', 'IN'], ['leaf', 'JJ'], ['hair', 'NN'], ['feeling', 'VBG'], ['soft', 'JJ'], ['shiny', 'NNS'], ['like', 'IN'], ['teen', 'JJ'], ['year', 'NN'], ['highly', 'RB'], ['recommend', 'JJ'], ['product', 'NN'], ['anyone', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
294,"['hair', 'NN'], ['cut', 'VBD'], ['year', 'NN'], ['damaged', 'VBN'], ['home', 'NN'], ['colouring', 'NN'], ['wanted', 'VBD'], ['shampoo', 'JJ'], ['weigh', 'JJ'], ['hair', 'NN'], ['condition', 'NN'], ['repair', 'NN'], ['it', 'PRP'], ['found', 'VBD'], ['it', 'PRP'], ['pantene', 'VBZ'], ['prov', 'JJ'], ['expert', 'JJ'], ['age', 'NN'], ['defy', 'NN'], ['shampoo', 'NN'], ['conditioner', 'NN'], ['used', 'VBD'], ['one', 'CD'], ['use', 'NN'], ['hair', 'NN'], ['feel', 'VBP'], ['super', 'JJ'], ['soft', 'JJ'], ['definetly', 'RB'], ['continue', 'VBP'], ['using', 'VBG'], ['it', 'PRP'], ['cant', 'JJ'], ['wait', 'NN'], ['long', 'JJ'], ['term', 'NN'], ['result', 'NN'], ['anyone', 'NN'], ['try', 'NN'], ['it', 'PRP'], ['sign', 'VBD'], ['bzzzgent', 'JJ'], ['try', 'VB'], ['new', 'JJ'], ['great', 'JJ'], ['new', 'JJ'], ['product', 'NN'], ['too', 'RB'], ['review', 'JJ'], ['collected', 'JJ'], ['part', 'NN'], ['promotion', 'NN']"
295,"['conditioner', 'NN'], ['smell', 'NN'], ['amazing', 'VBG'], ['actually', 'RB'], ['make', 'VB'], ['hair', 'JJ'], ['look', 'NN'], ['younger', 'JJR'], ['looking', 'VBG'], ['youthful', 'JJ'], ['glow', 'JJ'], ['little', 'JJ'], ['kid', 'NN'], ['help', 'NN'], ['achieve', 'VB'], ['that', 'IN'], ['hair', 'NN'], ['dull', 'JJ'], ['dry', 'JJ'], ['looking', 'VBG'], ['wash', 'NN'], ['looked', 'VBD'], ['felt', 'RB'], ['great', 'JJ'], ['felt', 'VBD'], ['softer', 'RB'], ['hard', 'JJ'], ['grey', 'NN'], ['hair', 'NN'], ['husband', 'NN'], ['even', 'RB'], ['commented', 'VBD'], ['liked', 'JJ'], ['hair', 'NN'], ['thanks', 'NNS'], ['pantene', 'VBP'], ['bzzagent', 'NN'], ['letting', 'VBG'], ['try', 'VB'], ['it', 'PRP'], ['review', 'VB'], ['collected', 'JJ'], ['part', 'NN'], ['promotion', 'NN']"
296,"['huge', 'JJ'], ['fan', 'NN'], ['many', 'JJ'], ['pantene', 'JJ'], ['product', 'NN'], ['past', 'JJ'], ['bit', 'RB'], ['skeptical', 'JJ'], ['new', 'JJ'], ['formulation', 'NN'], ['man', 'NN'], ['wrong', 'JJ'], ['pantenes', 'VBZ'], ['new', 'JJ'], ['prov', 'JJ'], ['age', 'NN'], ['defy', 'NN'], ['conditioner', 'NN'], ['formula', 'NN'], ['wonderful', 'JJ'], ['absolutely', 'RB'], ['love', 'VBP'], ['it', 'PRP'], ['got', 'VBD'], ['right', 'JJ'], ['time', 'NN'], ['found', 'VBD'], ['moisturizing', 'VBG'], ['formula', 'NN'], ['without', 'IN'], ['adding', 'VBG'], ['heavy', 'JJ'], ['residue', 'JJ'], ['friend', 'NN'], ['absolutely', 'RB'], ['loved', 'VBD'], ['way', 'NN'], ['hair', 'NN'], ['looked', 'VBD'], ['definitely', 'RB'], ['got', 'VBN'], ['lot', 'NN'], ['compliment', 'NN'], ['loved', 'VBD'], ['shininess', 'JJ'], ['bounce', 'NN'], ['touched', 'VBD'], ['sooooo', 'JJ'], ['soft', 'JJ'], ['hair', 'NN'], ['also', 'RB'], ['smelled', 'VBD'], ['amazing', 'JJ'], ['perfume', 'NN'], ['similar', 'JJ'], ['brand', 'NN'], ['expensive', 'JJ'], ['people', 'NNS'], ['thought', 'VBD'], ['thats', 'NNS'], ['using', 'VBG'], ['impressed', 'JJ'], ['especially', 'RB'], ['great', 'JJ'], ['result', 'NN'], ['seen', 'VBN'], ['first', 'JJ'], ['use', 'NN'], ['ie', 'NN'], ['result', 'NN'], ['immediate', 'NN'], ['would', 'MD'], ['definitely', 'RB'], ['recommend', 'VB'], ['people', 'NNS'], ['give', 'VBP'], ['new', 'JJ'], ['pantene', 'NN'], ['prov', 'NN'], ['age', 'NN'], ['defy', 'NN'], ['conditioner', 'NN'], ['try', 'VB'], ['feel', 'NN'], ['hair', 'NN'], ['looking', 'VBG'], ['little', 'JJ'], ['lifeless', 'JJ'], ['dull', 'NN'], ['dry', 'NN'], ['pick', 'NN'], ['need', 'VBP'], ['review', 'NN'], ['collected', 'VBN'], ['part', 'NN'], ['promotion', 'NN']"
297,"['conditioner', 'NN'], ['best', 'JJS'], ['thick', 'JJ'], ['curly', 'RB'], ['hair', 'NN'], ['moisturizes', 'NNS'], ['without', 'IN'], ['weighing', 'VBG'], ['leaving', 'VBG'], ['greasy', 'JJ'], ['hard', 'JJ'], ['time', 'NN'], ['finding', 'VBG'], ['store', 'NN'], ['please', 'NN'], ['discontinue', 'NN'], ['put', 'VBD'], ['big', 'JJ'], ['bulk', 'NN'], ['pump', 'NN'], ['bottle', 'NN']"
298,"['ok', 'JJ'], ['go', 'VB'], ['great', 'JJ'], ['shampoobut', 'NN'], ['great', 'JJ'], ['conditioner', 'NN'], ['tired', 'VBD'], ['pantene', 'JJ'], ['exper', 'JJ'], ['prov', 'NN'], ['agedefy', 'NN'], ['conditioner', 'NN'], ['conditioner', 'NN'], ['claim', 'NN'], ['fight', 'VBD'], ['seven', 'CD'], ['sign', 'NN'], ['aging', 'VBG'], ['breakage', 'NN'], ['split', 'VBD'], ['end', 'JJ'], ['frizz', 'NN'], ['unruly', 'JJ'], ['grey', 'JJ'], ['lackluster', 'JJ'], ['think', 'VBP'], ['look', 'VBP'], ['dryness', 'JJ'], ['company', 'NN'], ['delivers', 'NNS'], ['promoting', 'VBG'], ['conditioner', 'NN'], ['helped', 'VBD'], ['hair', 'NN'], ['regain', 'VB'], ['shine', 'JJ'], ['tame', 'NN'], ['fly', 'NN'], ['aways', 'VBZ'], ['help', 'NN'], ['split', 'VB'], ['end', 'JJ'], ['breakage', 'NN'], ['make', 'VBP'], ['hair', 'NN'], ['look', 'VB'], ['fuller', 'JJ'], ['find', 'NN'], ['conditioner', 'NN'], ['use', 'NN'], ['every', 'DT'], ['day', 'NN'], ['hair', 'NN'], ['built', 'VBN'], ['static', 'JJ'], ['like', 'IN'], ['able', 'JJ'], ['use', 'NN'], ['conditioner', 'NN'], ['every', 'DT'], ['day', 'NN'], ['every', 'DT'], ['two', 'CD'], ['day', 'NN'], ['bit', 'NN'], ['disappointment', 'NN'], ['would', 'MD'], ['get', 'VB'], ['static', 'JJ'], ['hair', 'NN'], ['use', 'NN'], ['conditioner', 'NN'], ['someone', 'NN'], ['use', 'NN'], ['conditioner', 'NN'], ['every', 'DT'], ['day', 'NN'], ['maybe', 'RB'], ['take', 'VB'], ['consideration', 'NN'], ['thanks', 'NNS'], ['bzzagent', 'JJ'], ['campagine', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
299,"['first', 'JJ'], ['thing', 'NN'], ['noticed', 'VBN'], ['opened', 'VBD'], ['bottle', 'RB'], ['smell', 'JJ'], ['product', 'NN'], ['smell', 'NN'], ['crisp', 'NN'], ['refreshing', 'VBG'], ['best', 'JJS'], ['thing', 'NN'], ['last', 'JJ'], ['husband', 'NN'], ['told', 'VBD'], ['hair', 'NN'], ['smelled', 'VBD'], ['good', 'JJ'], ['day', 'NN'], ['hair', 'NN'], ['testing', 'VBG'], ['conditioner', 'NN'], ['look', 'VBP'], ['thing', 'NN'], ['slick', 'NN'], ['feel', 'VBP'], ['hair', 'NN'], ['ifhow', 'RB'], ['much', 'JJ'], ['weighs', 'NNS'], ['hair', 'VBP'], ['fine', 'JJ'], ['thin', 'JJ'], ['hair', 'NN'], ['extra', 'JJ'], ['weight', 'NN'], ['big', 'JJ'], ['no', 'DT'], ['conditioner', 'NN'], ['quite', 'RB'], ['thick', 'JJ'], ['consistency', 'NN'], ['blend', 'VBP'], ['hair', 'NN'], ['surprisingly', 'RB'], ['well', 'RB'], ['give', 'VB'], ['right', 'JJ'], ['amount', 'NN'], ['slickness', 'RB'], ['allow', 'JJ'], ['detangle', 'NN'], ['hair', 'NN'], ['finger', 'NN'], ['only', 'RB'], ['without', 'IN'], ['feeling', 'VBG'], ['like', 'IN'], ['im', 'NN'], ['pulling', 'VBG'], ['much', 'JJ'], ['causing', 'NN'], ['damage', 'NN'], ['rinse', 'NN'], ['well', 'RB'], ['hair', 'JJ'], ['feel', 'VB'], ['weighed', 'JJ'], ['blow', 'NN'], ['dry', 'VBD'], ['it', 'PRP'], ['condition', 'NN'], ['combination', 'NN'], ['age', 'NN'], ['defy', 'NN'], ['shampoo', 'NN'], ['go', 'VBP'], ['combo', 'JJ'], ['past', 'IN'], ['week', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
