no,text
15,"['product', 'NN'], ['helped', 'VBD'], ['give', 'VB'], ['hair', 'NN'], ['volume', 'NN'], ['kept', 'VBD'], ['color', 'NN'], ['looking', 'VBG'], ['new', 'JJ'], ['longer', 'RBR'], ['anything', 'NN'], ['else', 'RB'], ['ha', 'NN']"
16,"['product', 'NN'], ['creates', 'VBZ'], ['awesome', 'JJ'], ['body', 'NN'], ['hair', 'NN'], ['must', 'MD'], ['flat', 'VB'], ['head', 'NN']"
17,"['pantene', 'NN'], ['color', 'NN'], ['preserve', 'NN'], ['help', 'NN'], ['keep', 'VB'], ['hair', 'NN'], ['color', 'NN'], ['longer', 'NN']"
18,"['oily', 'RB'], ['fine', 'JJ'], ['hair', 'NN'], ['shampoo', 'NN'], ['made', 'VBD'], ['hair', 'JJ'], ['look', 'VB'], ['dirtier', 'JJR'], ['washing', 'VBG'], ['it', 'PRP'], ['hair', 'JJ'], ['greasy', 'JJ'], ['heavy', 'JJ'], ['thought', 'VBN'], ['maybe', 'RB'], ['rinse', 'JJ'], ['well', 'RB'], ['enough', 'RB'], ['gave', 'VBD'], ['another', 'DT'], ['try', 'NN'], ['day', 'NN'], ['later', 'RB'], ['result', 'VBP'], ['say', 'VB'], ['smelled', 'VBN'], ['good', 'JJ']"
19,"['ive', 'JJ'], ['used', 'VBN'], ['volume', 'NN'], ['product', 'NN'], ['year', 'NN'], ['sudden', 'JJ'], ['removed', 'VBD'], ['2inswitched', 'CD'], ['conditioner', 'NN'], ['changed', 'VBD'], ['shampoo', 'NN'], ['conditioner', 'NN'], ['which', 'WDT'], ['nearly', 'RB'], ['good', 'JJ'], ['2inbetter', 'CD'], ['nothing', 'NN'], ['loved', 'VBD'], ['product', 'NN'], ['find', 'VB'], ['another', 'DT'], ['unfortunately', 'RB'], ['nothing', 'NN'], ['offer', 'NN'], ['compare', 'VBP'], ['quality', 'NN'], ['used', 'VBN'], ['have', 'VBP'], ['would', 'MD'], ['change', 'VB'], ['great', 'JJ'], ['product', 'NN'], ['wish', 'JJ'], ['bring', 'NN'], ['back', 'RB'], ['2inman', 'CD'], ['baby', 'NN'], ['fine', 'JJ'], ['hair', 'NN'], ['product', 'NN'], ['market', 'NN'], ['cause', 'NN'], ['lose', 'JJ'], ['hair', 'NN'], ['dry', 'JJ'], ['powering', 'NN'], ['feminine', 'JJ'], ['scent', 'NN'], ['really', 'RB'], ['wish', 'JJ'], ['stop', 'NN'], ['messing', 'VBG'], ['good', 'JJ'], ['thing', 'NN']"
20,"['using', 'VBG'], ['aussome', 'NN'], ['volume', 'NN'], ['year', 'NN'], ['except', 'IN'], ['used', 'VBN'], ['called', 'VBN'], ['real', 'JJ'], ['volume', 'NN'], ['would', 'MD'], ['really', 'RB'], ['like', 'VB'], ['know', 'NNS'], ['changed', 'VBN'], ['formula', 'VBP'], ['it', 'PRP'], ['last', 'JJ'], ['month', 'NN'], ['ive', 'JJ'], ['scalp', 'NN'], ['problem', 'NN'], ['sore', 'NN'], ['hair', 'NN'], ['falling', 'VBG'], ['out', 'RP'], ['last', 'JJ'], ['couple', 'NN'], ['bottle', 'NN'], ['purchased', 'VBD'], ['much', 'RB'], ['stronger', 'JJR'], ['smell', 'NN'], ['drying', 'VBG'], ['hair', 'NN'], ['scalp', 'NNS'], ['really', 'RB'], ['bad', 'JJ'], ['never', 'RB'], ['used', 'VBN'], ['this', 'DT'], ['always', 'RB'], ['made', 'VBN'], ['hair', 'NN'], ['really', 'RB'], ['thicker', 'VBZ'], ['looking', 'VBG'], ['really', 'RB'], ['nice', 'JJ'], ['hardly', 'RB'], ['ever', 'RB'], ['use', 'VBP'], ['conditioner', 'JJ'], ['please', 'NN'], ['could', 'MD'], ['let', 'VB'], ['know', 'VB'], ['would', 'MD'], ['really', 'RB'], ['appreciate', 'VB'], ['it', 'PRP'], ['ever', 'RB'], ['thought', 'VBD'], ['switching', 'VBG'], ['aussie', 'JJ'], ['think', 'VBP'], ['too', 'RB']"
21,"['tried', 'JJ'], ['hoping', 'VBG'], ['would', 'MD'], ['give', 'VB'], ['great', 'JJ'], ['result', 'NN'], ['opposite', 'JJ'], ['effect', 'NN'], ['hair', 'NN'], ['became', 'VBD'], ['limp', 'JJ'], ['flat', 'JJ'], ['greasy', 'JJ'], ['mention', 'NN'], ['felt', 'VBD'], ['grimy', 'JJ'], ['dirty', 'NN'], ['usually', 'RB'], ['like', 'IN'], ['product', 'NN'], ['diappointed', 'VBN'], ['sorry', 'JJ'], ['aussie', 'NN']"
22,"['leaf', 'JJ'], ['hair', 'NN'], ['scalp', 'NNS'], ['dried', 'VBD'], ['out', 'RP'], ['provide', 'NN'], ['volume', 'NN']"
23,"['changed', 'VBN'], ['smell', 'NN'], ['bottle', 'NN'], ['used', 'VBN'], ['say', 'VBP'], ['scent', 'JJ'], ['white', 'JJ'], ['ginger', 'NN'], ['new', 'JJ'], ['one', 'CD'], ['say', 'VBP'], ['jojoba', 'NN'], ['smell', 'VBP'], ['like', 'IN'], ['cherry', 'NN'], ['something', 'NN'], ['world', 'NN'], ['changed', 'VBD'], ['formula', 'JJ'], ['ive', 'NN'], ['used', 'VBN'], ['year', 'NN'], ['smell', 'NN'], ['always', 'RB'], ['same', 'JJ'], ['even', 'RB'], ['formula', 'VBP'], ['changed', 'VBN'], ['miss', 'JJ'], ['old', 'JJ'], ['smell', 'NN'], ['favorite', 'RB'], ['find', 'VBP'], ['another', 'DT'], ['shampoo', 'NN'], ['mild', 'FW'], ['scent', 'NN'], ['like', 'IN'], ['rude', 'NN']"
24,"['scent', 'NN'], ['strong', 'JJ'], ['burn', 'NN'], ['eye', 'NN'], ['leaf', 'JJ'], ['hair', 'NN'], ['dry', 'JJ'], ['avoid', 'NN'], ['it', 'PRP'], ['come', 'VBD'], ['shampoo', 'JJ'], ['conditioner', 'NN'], ['really', 'RB'], ['get', 'VB'], ['pay', 'NN'], ['for', 'IN']"
