  color ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  im ,  realli ,  job ,  hair ,  heavi ,  lot ,  foam ,  lot ,  volume ,  packaging ,  shampoo ,  receiv ,  review ,  opinion ,,,,,,,,,,,,,,,,,
  boyfriend ,  fan ,  fragranc ,  overpow ,  thick ,  quality ,  littl ,  way ,  way ,  factor ,  ad ,  volume ,  addit ,  coupl ,  wash ,  conditioner ,  shampoo ,  strip ,  lot ,  oil ,  need ,  receiv ,  product ,  review ,  complet ,,,,,,
  love ,  use ,  shampoo ,  hair ,  realli ,  realli ,  hair ,  sit ,  head ,  shampoo ,  smell ,  volum ,  day ,  routinecondit ,  con ,  togeth ,  brush ,  test ,  aussi ,  product ,,,,,,,,,,,
  aussi ,  smell ,  realli ,  enjoy ,  product ,  hair ,  color ,  quickli ,  id ,  color ,  friendli ,  option ,  volume ,  differ ,  shampoo ,  shampoo ,  iv ,  product ,  work ,  product ,  exchang ,  opinion ,,,,,,,,,
  shampoo ,  aussom ,  shampoo ,  use ,  week ,  hair ,  point ,  singl ,  tanglethi ,  hair ,  clean ,  shiny ,  deal ,  recommend ,  use ,  aussom ,  conditioner ,  product ,  review ,  test ,,,,,,,,,,,
  realli ,  smooth ,  volume ,  smell ,  bit ,  goe ,  way ,  lead ,  downside ,  contain ,  sulfate ,  tri ,  contain ,  thing ,  con ,  bit ,  lid ,  shower ,  bit ,  disclaimer ,  aussi ,  opinion ,,,,,,,,,
  shampoo ,  shampoo ,  ad ,  littl ,  bit ,  volum ,  hair ,  problem ,  shampoo ,  disclaimer ,  receiv ,  product ,  aussi ,  voxbox ,  opinion ,,,,,,,,,,,,,,,,
  product ,  hair ,  foam ,  littl ,  goe ,  way ,  hair ,  right ,  use ,  compar ,  thing ,  precept ,  volum ,  look ,  use ,  product ,  tri ,  product ,  opinion ,,,,,,,,,,,,
  enjoy ,  add ,  volum ,  hair ,,,,,,,,,,,,,,,,,,,,,,,,,,,
  fragranc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  husband ,  smell ,  ingredi ,  thank ,,,,,,,,,,,,,,,,,,,,,,,,,,,
  shampoo ,  year ,  daughter ,  use ,  condition ,  complaint ,  feel ,  test ,  aussi ,  opinion ,,,,,,,,,,,,,,,,,,,,,
  realli ,  limp ,  hair ,  realli ,  help ,  volum ,  thank ,  aussie ,,,,,,,,,,,,,,,,,,,,,,,
  remov ,  shampoo ,  work ,  hair ,  moistur ,,,,,,,,,,,,,,,,,,,,,,,,,,
  star ,  buildup ,  think ,  clarifi ,  shampoo ,  hair ,  meaner ,  style ,  product ,  kangaroo ,  use ,  shampoo ,  endors ,  cheer ,,,,,,,,,,,,,,,,,
  shampoo ,  bottl ,  design ,  bottle ,  cap ,  ask ,  friend ,  famili ,  product ,  cap ,  especi ,  nail ,  super ,  product ,  shame ,  product ,  wonder ,  smell ,  work ,  oomph ,  hair ,  wonder ,  lightli ,  price ,  product ,  end ,  simpli ,  pri ,  cap ,  empti ,  bottl 
  product ,  leav ,  hair ,  lightweight ,  differ ,  volum ,  hair ,  product ,  product ,  repurchase ,  i ,  product ,  review ,,,,,,,,,,,,,,,,,,
  fan ,  volum ,  condition ,  hairspray ,  week ,  compliment ,  shine ,  volum ,  hair ,  sinc ,  use ,  product ,  price ,  use ,  volum ,  shine ,  look ,  definit ,  product ,  future ,  test ,  opinion ,,,,,,,,,
  wife ,  shampoo ,  scent ,  leav ,  hair ,  pair ,  condition ,  hair ,  highli ,  product ,  test ,  aussi ,  opinion ,,,,,,,,,,,,,,,,,,
  product ,  use ,  year ,  type ,  claim ,  shine ,  fullness ,,,,,,,,,,,,,,,,,,,,,,,,
  love ,  review ,  state ,  opinion ,  shampoo ,  dri ,  hair ,  knotti ,  shampoo ,  shower ,  hair ,  feel ,  littl ,  volume ,,,,,,,,,,,,,,,,,
  use ,  smell ,  dri ,  love ,  hair ,  feel ,  hair ,  bit ,  use ,  shampoo ,  receiv ,  product ,  influenst ,  voxbox ,  test ,  opinion ,  complet ,,,,,,,,,,,,,,
  feel ,  day ,  smell ,  shampoo ,  foam ,  use ,  aussom ,  volum ,  condition ,  volum ,  hair ,  comment ,  bodi ,  test ,  opinion ,,,,,,,,,,,,,,,,
  love ,  shampoo ,  hair ,  use ,  combin ,  awesom ,  volum ,  condition ,  hair ,  amount ,  bodi ,  shine ,  receiv ,  product ,  opinion ,,,,,,,,,,,,,,,,
  plea ,  smell ,  shampoo ,  hair ,  feel ,  product ,  volum ,  tell ,  difference ,  receiv ,  product ,  influenst ,  voxbox ,  test ,  opinion ,  complet ,,,,,,,,,,,,,,,
  love ,  product ,  pair ,  volum ,  conditioner ,  hair ,  definit ,  help ,  volum ,  hair ,  tri ,  opinion ,,,,,,,,,,,,,,,,,,,
