26,"['use', 'littl', 'fragrance', 'contain', 'pure', 'tortur', 'use', 'bare', 'open', 'close', 'them', 'put', 'anoth', 'bottle']"
27,"['receiv', 'product', 'free', 'test', 'purpose', 'opinion', 'own', 'fall', 'love', 'shampoo', 'think', 'dri', 'hair', 'rins', 'out', 'instantli', 'felt', 'like', 'need', 'lot', 'condition', 'make', 'dryness', 'think', 'better', 'shampoo', 'drugstore', 'hate', 'it']"
28,"['shampoo', 'smell', 'great', 'good', 'job', 'clean', 'hair', 'iv', 'use', 'product', 'week', 'howev', 'notic', 'differ', 'volum', 'hair', 'thick', 'coars', 'hair', 'hard', 'hold', 'volum', 'even', 'teasing', 'le', 'coars', 'hair', 'might', 'work', 'better', 'you', 'use', 'volum', 'condition', 'spray', 'see', 'difference', 'receiv', 'product', 'free', 'opinion']"
29,"['feel', 'like', 'volum', 'use', 'this', 'whole', 'point', 'right', 'also', 'could', 'stand', 'smell', 'prefer', 'course', 'self', 'consciou', 'it', 'get', 'wrong', 'bad', 'shampoo', 'see', 'differ', 'volume', 'make', 'hair', 'worse', 'reciev', 'shampoo', 'free', 'test', 'purpos', 'opinion', 'own']"
30,"['disappoint', 'shampoo', 'didnt', 'give', 'volume', 'fact', 'made', 'hair', 'oili', 'flat', 'lile', 'aussir', 'product', 'one', 'hold', 'up', 'test', 'aussi', 'free', 'opinion', 'own']"
31,"['use', 'littl', 'fragrance', 'contain', 'pure', 'tortur', 'use', 'bare', 'open', 'close', 'them', 'put', 'anoth', 'bottle']"
32,"['make', 'hair', 'clean', 'soft', 'smooth', 'without', 'weigh', 'down', 'touchabl', 'volum', 'silki', 'finish', 'also', 'smell', 'good', 'sent', 'product', 'review', 'purpos', 'opinion', 'own']"
33,"['thought', 'shampoo', 'great', 'felt', 'good', 'hair', 'dri', 'hair', 'make', 'overli', 'oily', 'howev', 'smell', 'littl', 'strong', 'smell', 'good', 'alittl', 'strong', 'that', 'dislike', 'howev', 'smell', 'realli', 'bother', 'love', 'shampoo', 'given', 'product', 'tri', 'review', 'influencer', 'howev', 'opinion', 'product', 'own']"
34,"['receiv', 'item', 'free', 'opinion', 'would', 'love', 'use', 'product', 'everyday', 'wonderful', 'shampoo', 'lather', 'realli', 'well', 'light', 'citrusi', 'scent', 'condition', 'greasi', 'notic', 'week', 'daili', 'use', 'hair', 'seem', 'much', 'thicker', 'usual', 'would', 'definit', 'buy', 'again']"
35,"['love', 'shampoo', 'much', 'leav', 'hair', 'feel', 'extra', 'soft', 'lightweight', 'see', 'differ', 'volum', 'hair', 'use', 'that', 'gave', 'product', 'otherwise', 'absolut', 'love', 'product', 'much', 'repurchase', 'i', 'receiv', 'product', 'via', 'influenst', 'tri', 'free', 'review']"
36,"['product', 'pretti', 'good', 'realli', 'right', 'me', 'make', 'hair', 'smooth', 'product', 'use', 'mean', 'yours', 'itd', 'like', 'provid', 'littl', 'volum', 'advertising', 'test', 'product', 'free', 'opinion', 'own']"
37,"['initi', 'reaction', 'bottl', 'hard', 'open', 'scent', 'great', 'however', 'use', 'it', 'love', 'way', 'made', 'hair', 'feel', 'felt', 'soft', 'differ', 'volum', 'regular', 'shampoo', 'noticeable', 'receiv', 'product', 'free', 'opinion', 'own']"
38,"['so', 'like', 'product', 'tend', 'make', 'hair', 'littl', 'dri', 'good', 'top', 'hair', 'get', 'greasi', 'quickly', 'howev', 'hair', 'get', 'tangl', 'usual']"
39,"['love', 'shampoo', 'extrem', 'thick', 'hair', 'shampoo', 'lather', 'nice', 'use', 'le', 'normal', 'would', 'weigh', 'hair', 'like', 'shampoo', 'either', 'like', 'aussi', 'product', 'smell', 'fantast', 'last', 'day', 'tri', 'aussi', 'free', 'opinion']"
40,"['love', 'shampoo', 'ive', 'alway', 'love', 'aussi', 'especi', 'smell', 'it', 'shampoo', 'light', 'thin', 'staright', 'hair', 'alway', 'worri', 'anyth', 'promis', 'volum', 'weigh', 'left', 'hair', 'bounci', 'soft', 'got', 'product', 'free', 'purchas', 'run', 'love']"
41,"['given', 'product', 'rest', 'free', 'influenst', 'alll', 'opinion', 'own', 'like', 'shampoo', 'valu', 'smell', 'find', 'particularli', 'volumizing', 'fairli', 'flat', 'hair', 'take', 'lot', 'work', 'volum', 'me']"
42,"['light', 'refreshing', 'foami', 'shampoo', 'realli', 'great', 'job', 'clean', 'hair', 'without', 'leav', 'heavi', 'stripped', 'lot', 'foam', 'lot', 'volume', 'like', 'packaging', 'like', 'shampoo', 'receiv', 'review', 'opinion']"
43,"['im', 'fan', 'shampoo', 'fragranc', 'overpow', 'thick', 'good', 'quality', 'littl', 'goe', 'long', 'way', 'long', 'way', 'huge', 'factor', 'me', 'wash', 'well', 'ad', 'volume', 'slight', 'addit', 'coupl', 'wash', 'along', 'conditioner', 'however', 'feel', 'like', 'shampoo', 'strip', 'lot', 'good', 'oil', 'hair', 'felt', 'dri', 'conditioning', 'need', 'add', 'extra', 'put', 'moistur', 'back', 'in', 'receiv', 'product', 'review', 'review', 'complet', 'own']"
44,"['boyfriend', 'use', 'shampoo', 'love', 'it', 'thick', 'hair', 'realli', 'need', 'use', 'all', 'realli', 'thin', 'hair', 'tend', 'sit', 'flat', 'head', 'especi', 'root', 'shampoo', 'smell', 'wonder', 'give', 'volum', 'day', 'long', 'use', 'second', 'routinecondit', 'first', 'shampoo', 'con', 'found', 'make', 'hair', 'stick', 'togeth', 'rins', 'super', 'hard', 'brush', 'that', 'love', 'it', 'disclaimer', 'test', 'aussi', 'product', 'free', 'opinion', 'own']"
45,"['love', 'smell', 'usual', 'realli', 'enjoy', 'aussi', 'product', 'hair', 'dy', 'seem', 'strip', 'color', 'quickli', 'id', 'prefer', 'color', 'friendli', 'option', 'far', 'volume', 'saw', 'differ', 'shampoo', 'shampoo', 'iv', 'ever', 'used', 'combin', 'product', 'work', 'nicely', 'receiv', 'product', 'free', 'review', 'exchang', 'opinion']"
46,"['absolut', 'love', 'aussi', 'aussom', 'shampoo', 'use', 'littl', 'week', 'hair', 'visibl', 'shinier', 'smooth', 'point', 'run', 'finger', 'singl', 'tanglethi', 'leav', 'hair', 'feel', 'realli', 'clean', 'also', 'realli', 'smooth', 'shiny', 'also', 'pretti', 'good', 'deal', 'recommend', 'use', 'aussom', 'conditioner', 'receiv', 'product', 'free', 'review', 'influenst', 'test', 'purpose']"
47,"['shampoo', 'made', 'hair', 'super', 'soft', 'smooth', 'give', 'volume', 'plus', 'smell', 'great', 'littl', 'bit', 'goe', 'long', 'way', 'super', 'sudsy', 'lead', 'downside', 'contain', 'sulfate', 'tri', 'stay', 'away', 'shampoo', 'contain', 'sulfate', 'guess', 'thing', 'con', 'bit', 'difficult', 'open', 'lid', 'shower', 'bit', 'hard', 'open', 'disclaimer', 'test', 'aussi', 'free', 'opinion', 'own']"
